"cheese","rater","background","y"
"A",1,"rural",67
"A",1,"rural",66
"B",1,"rural",51
"B",1,"rural",53
"C",1,"rural",75
"C",1,"rural",70
"D",1,"rural",68
"D",1,"rural",66
"A",2,"rural",76
"A",2,"rural",76
"B",2,"rural",56
"B",2,"rural",65
"C",2,"rural",82
"C",2,"rural",82
"D",2,"rural",81
"D",2,"rural",77
"A",3,"rural",80
"A",3,"rural",84
"B",3,"rural",71
"B",3,"rural",67
"C",3,"rural",82
"C",3,"rural",82
"D",3,"rural",71
"D",3,"rural",70
"A",4,"rural",79
"A",4,"rural",83
"B",4,"rural",63
"B",4,"rural",60
"C",4,"rural",80
"C",4,"rural",83
"D",4,"rural",66
"D",4,"rural",71
"A",5,"rural",74
"A",5,"rural",72
"B",5,"rural",55
"B",5,"rural",58
"C",5,"rural",76
"C",5,"rural",79
"D",5,"rural",75
"D",5,"rural",74
"A",6,"rural",66
"A",6,"rural",71
"B",6,"rural",49
"B",6,"rural",49
"C",6,"rural",72
"C",6,"rural",70
"D",6,"rural",65
"D",6,"rural",65
"A",7,"rural",63
"A",7,"rural",68
"B",7,"rural",38
"B",7,"rural",33
"C",7,"rural",72
"C",7,"rural",71
"D",7,"rural",70
"D",7,"rural",72
"A",8,"rural",67
"A",8,"rural",60
"B",8,"rural",56
"B",8,"rural",48
"C",8,"rural",72
"C",8,"rural",70
"D",8,"rural",67
"D",8,"rural",69
"A",9,"rural",59
"A",9,"rural",65
"B",9,"rural",41
"B",9,"rural",48
"C",9,"rural",61
"C",9,"rural",70
"D",9,"rural",57
"D",9,"rural",59
"A",10,"rural",72
"A",10,"rural",64
"B",10,"rural",55
"B",10,"rural",57
"C",10,"rural",78
"C",10,"rural",78
"D",10,"rural",72
"D",10,"rural",67
"A",1,"urban",67
"A",1,"urban",64
"B",1,"urban",44
"B",1,"urban",54
"C",1,"urban",75
"C",1,"urban",83
"D",1,"urban",64
"D",1,"urban",60
"A",2,"urban",83
"A",2,"urban",85
"B",2,"urban",60
"B",2,"urban",63
"C",2,"urban",91
"C",2,"urban",90
"D",2,"urban",67
"D",2,"urban",69
"A",3,"urban",74
"A",3,"urban",75
"B",3,"urban",58
"B",3,"urban",54
"C",3,"urban",77
"C",3,"urban",80
"D",3,"urban",64
"D",3,"urban",66
"A",4,"urban",81
"A",4,"urban",84
"B",4,"urban",58
"B",4,"urban",62
"C",4,"urban",86
"C",4,"urban",90
"D",4,"urban",71
"D",4,"urban",67
"A",5,"urban",83
"A",5,"urban",79
"B",5,"urban",54
"B",5,"urban",57
"C",5,"urban",91
"C",5,"urban",82
"D",5,"urban",78
"D",5,"urban",84
"A",6,"urban",84
"A",6,"urban",82
"B",6,"urban",65
"B",6,"urban",61
"C",6,"urban",80
"C",6,"urban",87
"D",6,"urban",78
"D",6,"urban",84
"A",7,"urban",89
"A",7,"urban",84
"B",7,"urban",70
"B",7,"urban",76
"C",7,"urban",79
"C",7,"urban",89
"D",7,"urban",89
"D",7,"urban",91
"A",8,"urban",80
"A",8,"urban",80
"B",8,"urban",62
"B",8,"urban",56
"C",8,"urban",85
"C",8,"urban",86
"D",8,"urban",77
"D",8,"urban",79
"A",9,"urban",74
"A",9,"urban",73
"B",9,"urban",56
"B",9,"urban",61
"C",9,"urban",78
"C",9,"urban",79
"D",9,"urban",77
"D",9,"urban",82
"A",10,"urban",77
"A",10,"urban",82
"B",10,"urban",64
"B",10,"urban",57
"C",10,"urban",86
"C",10,"urban",86
"D",10,"urban",81
"D",10,"urban",83
