"agegp","alcgp","tobgp","ncases","ncontrols"
"25-34","0-39g/day","0-9g/day",0,40
"25-34","0-39g/day","10-19",0,10
"25-34","0-39g/day","20-29",0,6
"25-34","0-39g/day","30+",0,5
"25-34","40-79","0-9g/day",0,27
"25-34","40-79","10-19",0,7
"25-34","40-79","20-29",0,4
"25-34","40-79","30+",0,7
"25-34","80-119","0-9g/day",0,2
"25-34","80-119","10-19",0,1
"25-34","80-119","30+",0,2
"25-34","120+","0-9g/day",0,1
"25-34","120+","10-19",1,0
"25-34","120+","20-29",0,1
"25-34","120+","30+",0,2
"35-44","0-39g/day","0-9g/day",0,60
"35-44","0-39g/day","10-19",1,13
"35-44","0-39g/day","20-29",0,7
"35-44","0-39g/day","30+",0,8
"35-44","40-79","0-9g/day",0,35
"35-44","40-79","10-19",3,20
"35-44","40-79","20-29",1,13
"35-44","40-79","30+",0,8
"35-44","80-119","0-9g/day",0,11
"35-44","80-119","10-19",0,6
"35-44","80-119","20-29",0,2
"35-44","80-119","30+",0,1
"35-44","120+","0-9g/day",2,1
"35-44","120+","10-19",0,3
"35-44","120+","20-29",2,2
"45-54","0-39g/day","0-9g/day",1,45
"45-54","0-39g/day","10-19",0,18
"45-54","0-39g/day","20-29",0,10
"45-54","0-39g/day","30+",0,4
"45-54","40-79","0-9g/day",6,32
"45-54","40-79","10-19",4,17
"45-54","40-79","20-29",5,10
"45-54","40-79","30+",5,2
"45-54","80-119","0-9g/day",3,13
"45-54","80-119","10-19",6,8
"45-54","80-119","20-29",1,4
"45-54","80-119","30+",2,2
"45-54","120+","0-9g/day",4,0
"45-54","120+","10-19",3,1
"45-54","120+","20-29",2,1
"45-54","120+","30+",4,0
"55-64","0-39g/day","0-9g/day",2,47
"55-64","0-39g/day","10-19",3,19
"55-64","0-39g/day","20-29",3,9
"55-64","0-39g/day","30+",4,2
"55-64","40-79","0-9g/day",9,31
"55-64","40-79","10-19",6,15
"55-64","40-79","20-29",4,13
"55-64","40-79","30+",3,3
"55-64","80-119","0-9g/day",9,9
"55-64","80-119","10-19",8,7
"55-64","80-119","20-29",3,3
"55-64","80-119","30+",4,0
"55-64","120+","0-9g/day",5,5
"55-64","120+","10-19",6,1
"55-64","120+","20-29",2,1
"55-64","120+","30+",5,1
"65-74","0-39g/day","0-9g/day",5,43
"65-74","0-39g/day","10-19",4,10
"65-74","0-39g/day","20-29",2,5
"65-74","0-39g/day","30+",0,2
"65-74","40-79","0-9g/day",17,17
"65-74","40-79","10-19",3,7
"65-74","40-79","20-29",5,4
"65-74","80-119","0-9g/day",6,7
"65-74","80-119","10-19",4,8
"65-74","80-119","20-29",2,1
"65-74","80-119","30+",1,0
"65-74","120+","0-9g/day",3,1
"65-74","120+","10-19",1,1
"65-74","120+","20-29",1,0
"65-74","120+","30+",1,0
"75+","0-39g/day","0-9g/day",1,17
"75+","0-39g/day","10-19",2,4
"75+","0-39g/day","30+",1,2
"75+","40-79","0-9g/day",2,3
"75+","40-79","10-19",1,2
"75+","40-79","20-29",0,3
"75+","40-79","30+",1,0
"75+","80-119","0-9g/day",1,0
"75+","80-119","10-19",1,0
"75+","120+","0-9g/day",2,0
"75+","120+","10-19",1,0
